"","Accession","HCC1806_Rep1","HCC1806_Rep2","HCC1806_Rep3","HCC1806_Rep4","MCF10A_Rep1","MCF10A_Rep2","MCF10A_Rep3","MCF10A_Rep4","MCF7_Rep1","MCF7_Rep2","MCF7_Rep3","MCF7_Rep4","MDAMB231_Rep1","MDAMB231_Rep2","MDAMB231_Rep3","MDAMB231_Rep4","Description","hcc1806_mean","hcc1806_sd","mcf7_mean","mcf7_sd","mdam_mean","mdam_sd","mcf10a_mean","mcf10a_sd","mcf10_fc_mdamb231","mcf10_fc_mcf7","mcf10_fc_hcc","fc_mdamb_v_mcf7","fc_mdamb_v_hcc","fc_mdamb_v_mcf10","fc_mcf7_v_hcc","fc_mcf7_v_mcf10","fc_hcc_v_mcf10","MCF10A-HCC1806","MCF7-HCC1806","MDAMB231-HCC1806","MCF7-MCF10A","MDAMB231-MCF10A","MDAMB231-MCF7","p.t_mdam_mcf7","p.t_mdam_hcc","p.t_mdam_mcf10","p.t_mcf7_hcc","p.t_mcf7_mcf10","p.t_hcc_mcf10"
"1","P08727",107272.4,107252.1,104516.6,92179.9,25544.8,29488.1,28577.3,24056.8,238705.4,267129,248690.7,246306.9,52690.5,50694.3,52520.1,50915.8,"Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4",102805.25,7200.84915108396,250208,12057.5125718367,51705.175,1045.61772292746,26916.75,2544.98381985688,1.92092934696797,9.29562447175086,3.81937826817874,0.206648768224837,0.502942943088996,1.92092934696797,2.4338056665394,9.29562447175086,3.81937826817874,2.03427965583813e-08,4.39037695088018e-12,1.68952340018347e-06,1.80966353013901e-13,0.00179405944144384,5.03597163969971e-13,"Up in MCF7","Up in HCC1806","Up in MDAMB231","Up in MCF7","Up in MCF7","Up in HCC1806"
"2","Q16881",12496.3,13252.2,15174.1,11396.6,3667.2,4193.3,3843.9,4011.7,4806.9,4356.9,4909.8,4993.2,9346.1,10366.2,9657.2,9400.9,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3",13079.8,1590.5396086444,4766.7,283.626479722892,9692.6,469.091767852162,3929.025,225.444026682161,2.46692245531652,1.2132017485254,3.32901928595517,2.03339836784358,0.741035795654368,2.46692245531652,0.364432177862047,1.2132017485254,3.32901928595517,1.68842515524403e-08,5.03298358545123e-08,0.000541830332721926,0.524981598650009,2.89680462661757e-06,1.49848774315675e-05,"Up in MDAMB231","Up in HCC1806","Up in MDAMB231","Up in HCC1806","ns","Up in HCC1806"
"3","P50995",24649.1,24198.2,23768,22403.3,9538.2,10198.7,8962.9,9791.2,10223.7,10492.2,11490.8,9926.6,13748.2,15880.8,15968.5,14234.6,"Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1",23754.65,970.069147019943,10533.325,678.830491237197,14958.025,1134.25360002367,9622.75,517.250593684209,1.55444389597568,1.09462731547635,2.46859265802395,1.42006678802752,0.629688292607974,1.55444389597568,0.443421603770209,1.09462731547635,2.46859265802395,1.12526876705488e-10,2.89981150203289e-10,3.05454178617381e-08,0.468247023873011,7.49167561042707e-06,5.01492449229701e-05,"Up in MDAMB231","Up in HCC1806","Up in MDAMB231","Up in HCC1806","ns","Up in HCC1806"
"4","Q92598",67539.3,75834.4,78755.9,72757.4,28132.9,29665.8,27896,27637.3,31911,32886.3,33028.8,32292.2,25961.2,23571.2,29369.9,29150.8,"Heat shock protein 105 kDa OS=Homo sapiens OX=9606 GN=HSPH1 PE=1 SV=1",73721.75,4794.39308533069,32529.575,521.363675854003,27013.275,2773.53184150342,28333,911.292733794507,0.953420922599089,1.1481161543077,2.60197472911446,0.830422008280157,0.366422053193257,0.953420922599089,0.441248003472517,1.1481161543077,2.60197472911446,1.52504009420795e-10,5.63262325670166e-10,9.98867655255253e-11,0.206138892455683,0.909232126991057,0.0705895268334443,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"5","P04040",35338.4,38541.3,36128.1,45699.6,8600.9,8885.6,8378.2,7454.8,7453.8,8922.2,6487.8,7644,12183.2,10502.1,13915.2,12291.3,"Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3",38926.85,4716.24025151391,7626.95,1000.93404877644,12222.95,1394.18872108477,8329.875,619.240499186974,1.46736295562659,0.915613979801618,4.67316136196522,1.60259999082202,0.313997921742961,1.46736295562659,0.195930315450647,0.915613979801618,4.67316136196522,4.74686756568587e-09,3.71653174902065e-09,2.13268781523723e-08,0.978437460666782,0.184711341038143,0.0982865545956983,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"6","P08670",28924.9,28797.2,26654.3,38347.3,287247.2,241067.1,246313.6,305215.6,45815.3,47414.7,40787,45836.2,316563.9,234139.6,235953,169293.5,"Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4",30680.925,5215.97092935086,44963.3,2883.210135711,238987.5,60299.4245346228,269960.875,31282.3513369626,0.885267170659452,0.16655487577598,0.113649524213462,5.31516814824535,7.78944898173703,0.885267170659452,1.46551318123557,0.16655487577598,0.113649524213462,2.03830769329727e-06,0.932458479093309,8.82717754824291e-06,3.93028984468913e-06,0.588939371239444,1.83366347860092e-05,"Up in MDAMB231","Up in MDAMB231","ns","ns","Up in MCF10A","Up in MCF10A"
"7","Q9H4G0",4540.3,3876.4,4069,3876.5,1737.6,1683.4,1576.7,1693.4,2869.8,2738.8,2865.8,3063.5,3168.7,2596,2528.3,2600,"Band 4.1-like protein 1 OS=Homo sapiens OX=9606 GN=EPB41L1 PE=1 SV=2",4090.55,313.271495671087,2884.475,133.959281748846,2723.25,298.783271508519,1672.775,68.2421362991127,1.62798344068987,1.72436520153637,2.44536772727952,0.944105946489396,0.665741770666536,1.62798344068987,0.705155785896762,1.72436520153637,2.44536772727952,2.1550006557014e-08,4.01926011656117e-05,1.12672078631526e-05,3.8375798028234e-05,0.000153082636464297,0.755006467151802,"ns","Up in HCC1806","Up in MDAMB231","Up in HCC1806","Up in MCF7","Up in HCC1806"
"8","Q8WX93",4320,3919.9,4100.2,3684,10287.7,8624,9889.7,10943.1,2542.2,2818.6,2761.2,2922,7541.7,7564.4,6806.5,6792.4,"Palladin OS=Homo sapiens OX=9606 GN=PALLD PE=1 SV=3",4006.025,269.91779458445,2761,160.324920084184,7176.25,435.227913473696,9936.125,976.632125811284,0.722238297122872,0.277874926090402,0.403177798185913,2.59914885910902,1.79136425758701,0.722238297122872,0.689211874613863,0.277874926090402,0.403177798185913,1.95468803365628e-08,0.0358828076807403,1.83616612394744e-05,2.42513498172059e-09,7.30171139105007e-05,5.44349766484764e-07,"Up in MDAMB231","Up in MDAMB231","Up in MCF10A","Up in HCC1806","Up in MCF10A","Up in MCF10A"
"9","Q7Z406",18989.5,15809.3,17126.3,14995.3,3190.5,3996.5,3556.4,2830.5,18807.3,18113.1,20298.6,19983.4,4817.1,4003.4,5909.9,5979,"Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2",16730.1,1743.48945891087,19300.6,1019.10434205728,5177.35,946.433813498511,3393.475,499.440823154589,1.52567795548811,5.68756215973302,4.9300790487627,0.268248137363605,0.309463183125026,1.52567795548811,1.15364522626882,5.68756215973302,4.9300790487627,7.02670333030397e-09,0.0345898251524631,3.50773817769934e-08,1.012652184329e-09,0.176303097337976,3.78226994168784e-09,"Up in MCF7","Up in HCC1806","ns","ns","Up in MCF7","Up in HCC1806"
"10","P13646",35735.5,35413.9,36486.8,22369.9,3055.5,3493.2,3469,2699.8,4459.6,4668.8,3905.4,4225.2,3563.8,2965.1,4499.2,5544.2,"Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4",32501.525,6769.36147671994,4314.75,327.576734013066,4143.075,1127.41014534788,3179.375,377.582647685687,1.30310988794968,1.35710634951838,10.2226145075683,0.960212063271337,0.127473249332147,1.30310988794968,0.132755309173954,1.35710634951838,10.2226145075683,2.42958160590057e-07,3.76841402083272e-07,3.52329372121929e-07,0.964952049895791,0.977967362642236,0.999866383847964,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"11","P17655",6606.8,7105.6,6739.1,6971.7,20014.5,18638.7,23832.2,22425.4,6448.7,7018,6974.4,7085.3,22640.9,30113.3,21863.4,22291.5,"Calpain-2 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN2 PE=1 SV=6",6855.8,224.686997101894,6881.6,292.183104690649,24227.275,3936.87718068945,21227.7,2337.56859293298,1.14130475746313,0.324180198514206,0.322964805419334,3.5205875087189,3.53383631377811,1.14130475746313,1.00376323696724,0.324180198514206,0.322964805419334,6.87468623783438e-06,0.999998472162404,9.06349192697498e-07,7.00508267081901e-06,0.2998649825219,9.21148186283638e-07,"Up in MDAMB231","Up in MDAMB231","ns","ns","Up in MCF10A","Up in MCF10A"
