Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Coverage [%],# Peptides,# PSMs,# Unique Peptides,Sum PEP Score,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Protein Groups
FALSE,High,Master Protein,P29375,Lysine-specific demethylase 5A OS=Homo sapiens OX=9606 GN=KDM5A PE=1 SV=3,69,112,306,107,937.834,1690,192,6.49,633.52,112,1
FALSE,High,Master Protein,P41229,Lysine-specific demethylase 5C OS=Homo sapiens OX=9606 GN=KDM5C PE=1 SV=2,65,99,311,67,960.525,1560,175.6,5.58,725.09,99,1
FALSE,High,Master Protein,P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,29,97,123,97,443.449,4128,468.8,7.12,220.21,97,1
FALSE,High,Master Protein,Q9BY66,Lysine-specific demethylase 5D OS=Homo sapiens OX=9606 GN=KDM5D PE=1 SV=2,62,87,243,53,758.046,1539,174,5.85,546.42,87,1
FALSE,High,Master Protein,Q9Y4C1,Lysine-specific demethylase 3A OS=Homo sapiens OX=9606 GN=KDM3A PE=1 SV=4,67,82,252,80,672.405,1321,147.2,8.07,478.18,82,1
FALSE,High,Master Protein,P27708,CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3,58,81,129,81,613.378,2225,242.8,6.46,324.78,81,1
FALSE,High,Master Protein,Q92616,eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=7,36,77,89,77,322.46,2671,292.5,7.43,168.18,77,1
FALSE,High,Master Protein,O15550,Lysine-specific demethylase 6A OS=Homo sapiens OX=9606 GN=KDM6A PE=1 SV=2,71,74,261,56,868.92,1401,154.1,7.44,691.38,74,1
FALSE,High,Master Protein,Q9Y2K7,Lysine-specific demethylase 2A OS=Homo sapiens OX=9606 GN=KDM2A PE=1 SV=3,62,66,173,65,613.92,1162,132.7,7.58,426.76,66,1
FALSE,High,Master Protein,Q8NB78,Lysine-specific histone demethylase 1B OS=Homo sapiens OX=9606 GN=KDM1B PE=1 SV=3,84,61,236,61,789.812,822,92,7.87,571.34,61,1
FALSE,High,Master Protein,O43593,Lysine-specific demethylase hairless OS=Homo sapiens OX=9606 GN=HR PE=1 SV=5,63,59,193,59,788.81,1189,127.4,7.08,493.84,59,1
FALSE,High,Master Protein,F5H3N7,Histone demethylase UTY OS=Homo sapiens OX=9606 GN=UTY PE=1 SV=2,52,57,161,39,582.685,1363,151.2,7.75,435.46,57,1
FALSE,High,Master Protein,P49327,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,34,54,59,54,259.874,2511,273.3,6.44,116.69,54,1
FALSE,High,Master Protein,O75151,Lysine-specific demethylase PHF2 OS=Homo sapiens OX=9606 GN=PHF2 PE=1 SV=4,53,53,173,51,604.023,1096,120.7,9.17,421.9,53,1
FALSE,High,Master Protein,Q6ZMT4,Lysine-specific demethylase 7A OS=Homo sapiens OX=9606 GN=KDM7A PE=1 SV=2,63,50,167,50,543.209,941,106.5,8.06,425.22,50,1
FALSE,High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,75,50,195,44,480.182,646,70.9,5.52,505.79,50,1
FALSE,High,Master Protein,Q9H3R0,Lysine-specific demethylase 4C OS=Homo sapiens OX=9606 GN=KDM4C PE=1 SV=2,64,50,92,47,410.584,1056,119.9,6.46,218.89,50,1
FALSE,High,Master Protein,P15924,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,25,50,53,50,189.217,2871,331.6,6.81,86.7,50,1
FALSE,High,Master Protein,P53621,Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2,58,49,77,49,354.655,1224,138.3,7.66,181.63,49,1
FALSE,High,Master Protein,A0A0G2JIW1,Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1,68,47,189,32,520.695,642,70.1,5.66,459.88,47,1
