Checked,Protein FDR Confidence: Combined,Master,Accession,Description,# Peptides,# PSMs,Abundance Ratio P-Value: (MCF10A) / (HCC1806),Abundance Ratio P-Value: (MCF7) / (HCC1806),Abundance Ratio P-Value: (MDAMB231) / (HCC1806),Abundance Ratio P-Value: (MCF7) / (MCF10A),Abundance Ratio P-Value: (MDAMB231) / (MCF10A),Abundance Ratio P-Value: (MDAMB231) / (MCF7),Abundance Ratio: (MCF10A) / (HCC1806),Abundance Ratio: (MCF7) / (HCC1806),Abundance Ratio: (MDAMB231) / (HCC1806),Abundance Ratio: (MCF7) / (MCF10A),Abundance Ratio: (MDAMB231) / (MCF10A),Abundance Ratio: (MDAMB231) / (MCF7),Abundance Ratio (log2): (MCF10A) / (HCC1806),Abundance Ratio (log2): (MCF7) / (HCC1806),Abundance Ratio (log2): (MDAMB231) / (HCC1806),Abundance Ratio (log2): (MCF7) / (MCF10A),Abundance Ratio (log2): (MDAMB231) / (MCF10A),Abundance Ratio (log2): (MDAMB231) / (MCF7),Abundances (Grouped): HCC1806,Abundances (Grouped): MCF10A,Abundances (Grouped): MCF7,Abundances (Grouped): MDAMB231,Abundances (Grouped) CV [%]: HCC1806,Abundances (Grouped) CV [%]: MCF10A,Abundances (Grouped) CV [%]: MCF7,Abundances (Grouped) CV [%]: MDAMB231,# Unique Peptides,"Abundances (Normalized): F3: 130C, Sample, HCC1806","Abundances (Normalized): F3: 131N, Sample, HCC1806","Abundances (Normalized): F3: 132N, Sample, HCC1806","Abundances (Normalized): F3: 132C, Sample, HCC1806","Abundances (Normalized): F3: 126, Sample, MCF10A","Abundances (Normalized): F3: 127N, Sample, MCF10A","Abundances (Normalized): F3: 127C, Sample, MCF10A","Abundances (Normalized): F3: 128N, Sample, MCF10A","Abundances (Normalized): F3: 128C, Sample, MCF7","Abundances (Normalized): F3: 129N, Sample, MCF7","Abundances (Normalized): F3: 129C, Sample, MCF7","Abundances (Normalized): F3: 130N, Sample, MCF7","Abundances (Normalized): F3: 133N, Sample, MDAMB231","Abundances (Normalized): F3: 133C, Sample, MDAMB231","Abundances (Normalized): F3: 134N, Sample, MDAMB231","Abundances (Normalized): F3: 135N, Sample, MDAMB231",# Protein Groups,Sum PEP Score,Coverage [%],"Abundance: F3: 130C, Sample, HCC1806","Abundance: F3: 131N, Sample, HCC1806","Abundance: F3: 132N, Sample, HCC1806","Abundance: F3: 132C, Sample, HCC1806","Abundance: F3: 126, Sample, MCF10A","Abundance: F3: 127N, Sample, MCF10A","Abundance: F3: 127C, Sample, MCF10A","Abundance: F3: 128N, Sample, MCF10A","Abundance: F3: 128C, Sample, MCF7","Abundance: F3: 129N, Sample, MCF7","Abundance: F3: 129C, Sample, MCF7","Abundance: F3: 130N, Sample, MCF7","Abundance: F3: 133N, Sample, MDAMB231","Abundance: F3: 133C, Sample, MDAMB231","Abundance: F3: 134N, Sample, MDAMB231","Abundance: F3: 135N, Sample, MDAMB231"
FALSE,High,Master Protein,P08727,"Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4",57,769,4.4300119128593E-12,1.25664467720554E-09,2.23758576112232E-08,7.8159700933611E-14,3.69053300142141E-08,1.35569333536978E-12,0.255,2.338,0.488,9.16,1.914,0.209,-1.97,1.23,-1.03,3.2,0.94,-2.26,105875.4,27018.5,247495.8,51711.6,7,9.46,4.82,2.02,38,107272.3,107252,104516.5,92179.8,25544.7,29488,28577.2,24056.7,238705.3,267128.9,248690.6,246306.8,52690.4,50694.2,52520,50915.7,1,685.657,85,79625.4,62089.1,68502.8,17897.1,3037.6,2264.7,6215.8,3959.4,26690.1,31352.8,52661.9,86758.3,46666.4,50694.2,18998.4,1466.4
FALSE,High,Master Protein,Q14533,"Keratin, type II cuticular Hb1 CONTAMINANT OS=Homo sapiens GN=KRT81 PE=1 SV=3",16,76,2.36723196600508E-10,0.985454658232952,0.0159169910986142,2.93168600506988E-10,2.10199335715089E-09,0.0290266058954318,13.936,0.948,1.503,0.068,0.108,1.586,3.8,-0.08,0.59,-3.88,-3.21,0.67,2486.7,34654.6,2356.6,3736.9,22.78,14.3,13.55,14.83,14,2544.6,2883.4,2430.1,1611.9,34095.2,35223.2,43574.5,31679.9,2119.8,2395.4,2318.5,2894.5,3845.7,4235.2,2939.4,3631.2,1,89.449,27,1888.8,1669.2,1592.8,313,4054.4,2705.1,9477.9,5214,237,281.2,490.9,1019.5,3406,4235.2,1063.3,104.6
FALSE,High,Master Protein,Q16881,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3",24,56,2.43514652886745E-10,2.06601202812351E-09,0.00076506533777998,0.0181289505172565,6.57575971452218E-09,9.88567047111033E-08,0.305,0.378,0.74,1.237,2.426,1.961,-1.71,-1.41,-0.43,0.31,1.28,0.97,12868.6,3926.8,4858,9528.1,12.16,5.74,5.95,4.84,23,12496.2,13252.1,15174,11396.5,3667.1,4193.2,3843.8,4011.6,4806.8,4356.8,4909.7,4993.1,9346,10366.1,9657.1,9400.8,1,159.409,45,9275.6,7671.8,9945.4,2212.7,436.1,322,836.1,660.3,537.5,511.4,1039.7,1758.8,8277.5,10366.1,3493.3,270.7
FALSE,High,Master Protein,P50995,Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1,25,81,3.88306720111586E-10,1.38217126632867E-09,7.2211332613481E-07,0.202315760287546,1.28802625387614E-06,1.44323641745325E-05,0.403,0.432,0.627,1.072,1.556,1.452,-1.31,-1.21,-0.67,0.1,0.64,0.54,23982,9663.8,10357,15035.1,4.08,5.38,6.44,7.58,24,24649,24198.1,23767.9,22403.2,9538.1,10198.6,8962.8,9791.1,10223.6,10492.1,11490.7,9926.5,13748.1,15880.7,15968.4,14234.5,1,202.994,44,18296.3,14008.5,15578.1,4349.7,1134.2,783.2,1949.5,1611.5,1143.1,1231.5,2433.2,3496.5,12176.3,15880.7,5776.3,410
FALSE,High,Master Protein,Q92598,Heat shock protein 105 kDa OS=Homo sapiens OX=9606 GN=HSPH1 PE=1 SV=1,52,180,4.62599958339638E-10,2.83874268536266E-09,2.30173213822127E-10,0.0440470755377725,0.679432134315957,0.00614071453099752,0.377,0.439,0.37,1.163,0.982,0.844,-1.41,-1.19,-1.43,0.22,-0.03,-0.24,74279.8,28014.1,32587.8,27509.7,6.5,3.22,1.6,10.27,46,67539.2,75834.3,78755.8,72757.3,28132.8,29665.7,27895.9,27637.2,31910.9,32886.2,33028.7,32292.1,25961.1,23571.1,29369.8,29150.7,1,457.083,49,50132.5,43901.1,51618.5,14126.2,3345.4,2278.3,6067.6,4548.7,3568,3859.8,6994.1,11374.5,22993,23571.1,10624.1,839.5
FALSE,High,Master Protein,P04040,Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3,23,81,1.11507403310895E-09,5.53511236844884E-10,2.56863965653054E-08,0.654309544296513,0.00201219222742477,0.000312403964385699,0.227,0.202,0.328,0.889,1.442,1.621,-2.14,-2.31,-1.61,-0.17,0.53,0.7,37315.1,8488.8,7548.2,12237,12.12,7.43,13.12,11.41,23,35338.3,38541.2,36128,45699.5,8600.8,8885.5,8378.1,7454.7,7453.7,8922.1,6487.7,7643.9,12183.1,10502,13915.1,12291.2,1,190.161,46,26230.7,22311.9,23679.2,8872.8,1022.8,682.4,1822.3,1226.9,833.4,1047.2,1373.8,2692.5,10790.2,10502,5033.6,354
FALSE,High,Master Protein,P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,99,753,1.80724479825756E-09,0.0256464094279952,3.74238884326417E-09,1.56220567593124E-08,0.632018296938986,3.96932893220736E-08,9.216,1.588,8.144,0.172,0.884,5.129,3.2,0.67,3.03,-2.54,-0.18,2.36,28860.9,265994,45825.6,235044.4,17,11.59,6.41,25.23,88,28924.8,28797.1,26654.2,38347.2,287247.1,241067,246313.5,305215.5,45815.2,47414.6,40786.9,45836.1,316563.8,234139.5,235952.9,169293.4,1,1082.252,94,21470.1,16670.9,17469.9,7445.3,34157.6,18513.8,53575.8,50234,5122.7,5565,8636.9,16145.1,280371.4,234139.5,85352.9,4875.6
FALSE,High,Master Protein,Q9H4G0,Band 4.1-like protein 1 OS=Homo sapiens OX=9606 GN=EPB41L1 PE=1 SV=2,13,21,3.29204485893797E-09,8.43043661779008E-05,1.69306010660009E-05,8.13667383914307E-07,2.92929962841804E-06,0.633105286703187,0.425,0.722,0.654,1.699,1.539,0.906,-1.23,-0.47,-0.61,0.76,0.62,-0.14,3971.5,1688.3,2867.7,2597.9,7.66,4.08,4.64,10.97,11,4540.2,3876.3,4068.9,3876.4,1737.5,1683.3,1576.6,1693.3,2869.7,2738.7,2865.7,3063.4,3168.6,2595.9,2528.2,2599.9,1,73.41,18,3370.1,2244,2666.9,752.6,206.6,129.3,342.9,278.7,320.9,321.4,606.8,1079.1,2806.3,2595.9,914.5,74.9
FALSE,High,Master Protein,Q8WX93,Palladin OS=Homo sapiens OX=9606 GN=PALLD PE=1 SV=3,16,38,4.19086654268597E-09,6.38744356155074E-05,5.7993688962199E-07,5.3236082209196E-11,0.000242741394358759,2.3785313718605E-09,2.516,0.696,1.787,0.277,0.71,2.568,1.33,-0.52,0.84,-1.85,-0.49,1.36,4008.9,10086.6,2789.7,7164.6,6.74,9.83,5.81,6.07,16,4319.9,3919.8,4100.1,3683.9,10287.6,8623.9,9889.6,10943,2542.1,2818.5,2761.1,2921.9,7541.6,7564.3,6806.4,6792.3,1,97.898,14,3206.6,2269.2,2687.3,715.2,1223.3,662.3,2151.1,1801.1,284.2,330.8,584.7,1029.2,6679.4,7564.3,2462.1,195.6
FALSE,High,Master Protein,Q7Z406,Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2,79,194,5.3601407756787E-09,0.443990864744753,1.60631652201815E-07,2.08495598563729E-09,0.0040414704357763,4.28140354280515E-08,0.205,1.178,0.324,5.755,1.584,0.275,-2.29,0.24,-1.62,2.52,0.66,-1.86,16454.5,3368.4,19386.4,5335.5,10.42,14.72,5.28,18.28,63,18989.4,15809.2,17126.2,14995.2,3190.4,3996.4,3556.3,2830.4,18807.2,18113,20298.5,19983.3,4817,4003.3,5909.8,5978.9,1,500.048,41,14095.3,9152.1,11225,2911.4,379.4,306.9,773.5,465.8,2102.9,2125.9,4298.4,7038.9,4266.3,4003.3,2137.8,172.2
