Checked,Protein FDR Confidence: Combined,Master,Accession,Description,# Peptides,# PSMs,Abundance Ratio P-Value: (MCF10A) / (HCC1806),Abundance Ratio P-Value: (MCF7) / (HCC1806),Abundance Ratio P-Value: (MDAMB231) / (HCC1806),Abundance Ratio P-Value: (MCF7) / (MCF10A),Abundance Ratio P-Value: (MDAMB231) / (MCF10A),Abundance Ratio P-Value: (MDAMB231) / (MCF7),Abundance Ratio: (MCF10A) / (HCC1806),Abundance Ratio: (MCF7) / (HCC1806),Abundance Ratio: (MDAMB231) / (HCC1806),Abundance Ratio: (MCF7) / (MCF10A),Abundance Ratio: (MDAMB231) / (MCF10A),Abundance Ratio: (MDAMB231) / (MCF7),Abundance Ratio (log2): (MCF10A) / (HCC1806),Abundance Ratio (log2): (MCF7) / (HCC1806),Abundance Ratio (log2): (MDAMB231) / (HCC1806),Abundance Ratio (log2): (MCF7) / (MCF10A),Abundance Ratio (log2): (MDAMB231) / (MCF10A),Abundance Ratio (log2): (MDAMB231) / (MCF7),Abundances (Grouped): HCC1806,Abundances (Grouped): MCF10A,Abundances (Grouped): MCF7,Abundances (Grouped): MDAMB231,Abundances (Grouped) CV [%]: HCC1806,Abundances (Grouped) CV [%]: MCF10A,Abundances (Grouped) CV [%]: MCF7,Abundances (Grouped) CV [%]: MDAMB231,# Unique Peptides,"Abundances (Normalized): F1: 130C, Sample, HCC1806","Abundances (Normalized): F1: 131N, Sample, HCC1806","Abundances (Normalized): F1: 132N, Sample, HCC1806","Abundances (Normalized): F1: 132C, Sample, HCC1806","Abundances (Normalized): F1: 126, Sample, MCF10A","Abundances (Normalized): F1: 127N, Sample, MCF10A","Abundances (Normalized): F1: 127C, Sample, MCF10A","Abundances (Normalized): F1: 128N, Sample, MCF10A","Abundances (Normalized): F1: 128C, Sample, MCF7","Abundances (Normalized): F1: 129N, Sample, MCF7","Abundances (Normalized): F1: 129C, Sample, MCF7","Abundances (Normalized): F1: 130N, Sample, MCF7","Abundances (Normalized): F1: 133N, Sample, MDAMB231","Abundances (Normalized): F1: 133C, Sample, MDAMB231","Abundances (Normalized): F1: 134N, Sample, MDAMB231","Abundances (Normalized): F1: 135N, Sample, MDAMB231",# Protein Groups,Sum PEP Score,Coverage [%],"Abundance: F1: 130C, Sample, HCC1806","Abundance: F1: 131N, Sample, HCC1806","Abundance: F1: 132N, Sample, HCC1806","Abundance: F1: 132C, Sample, HCC1806","Abundance: F1: 126, Sample, MCF10A","Abundance: F1: 127N, Sample, MCF10A","Abundance: F1: 127C, Sample, MCF10A","Abundance: F1: 128N, Sample, MCF10A","Abundance: F1: 128C, Sample, MCF7","Abundance: F1: 129N, Sample, MCF7","Abundance: F1: 129C, Sample, MCF7","Abundance: F1: 130N, Sample, MCF7","Abundance: F1: 133N, Sample, MDAMB231","Abundance: F1: 133C, Sample, MDAMB231","Abundance: F1: 134N, Sample, MDAMB231","Abundance: F1: 135N, Sample, MDAMB231"
FALSE,High,Master Protein,P50995,Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1,26,94,2.34714692126659E-10,9.97324889340234E-10,9.33620915248845E-05,0.134696200028526,1.67343524593022E-08,1.15005825196413E-07,0.475,0.513,0.784,1.08,1.65,1.528,-1.07,-0.96,-0.35,0.11,0.72,0.61,24586.2,11689.3,12618.8,19285,4.29,5.19,2.43,6.23,25,24167.6,25012,25571.7,23163.9,10964.9,11786.4,12438.2,11592.9,12460.8,13025.4,12778.9,12350.6,18334.2,19818.3,21057.6,18766.1,1,161.296,39,18051.1,12800.6,14813.9,6002.2,1480.7,1221.7,2521.5,2057.6,1765.4,1964.1,2682.4,4811.4,18334.2,17061.1,9736.7,997.4
FALSE,High,Master Protein,O60716,Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1,38,105,3.81458198361884E-10,2.34873231974575E-10,1.01218420311966E-08,0.861312447932041,0.000872614397649851,0.000260092194810491,0.534,0.516,0.631,0.967,1.182,1.223,-0.91,-0.95,-0.66,-0.05,0.24,0.29,21798.6,11638.5,11252.4,13756.7,5.98,2.01,3.64,3.96,38,20878.9,23132.7,22758.8,20548.5,11750.7,11527.4,11999.4,11492.2,11280.3,12053,11224.4,11170.2,14083.6,13024.5,13437.5,14157.7,1,237.03,43,15594.8,11838.8,13184.4,5324.5,1586.8,1194.9,2432.5,2039.7,1598.1,1817.5,2356.1,4351.5,14083.6,11212.5,6213.3,752.4
FALSE,High,Master Protein,Q14533,"Keratin, type II cuticular Hb1 CONTAMINANT OS=Homo sapiens GN=KRT81 PE=1 SV=3",17,54,5.78497472147887E-10,0.223108899218447,0.108360613665186,1.62195701314261E-10,2.57559207295088E-09,0.00313927137362657,13.38,0.825,1.348,0.062,0.101,1.634,3.74,-0.28,0.43,-4.02,-3.31,0.71,1967.6,26327.4,1623.1,2652.8,7.37,12.56,29.15,9.24,13,2106.3,2080.7,1827.3,1860.7,28016.1,30419.2,24740.4,22958.4,1023.4,1363.1,1932.8,1965.2,2538.4,3027.1,2478.8,2772.4,1,79.871,27,1573.2,1064.8,1058.6,482.1,3783.3,3153.1,5015.4,4074.9,145,205.5,405.7,765.6,2538.4,2606,1146.1,147.3
FALSE,High,Master Protein,P61081,NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens OX=9606 GN=UBE2M PE=1 SV=1,13,65,6.61202204099709E-10,7.1781989241515E-09,1.06244996134208E-08,0.00935904544650812,0.00346323541568971,0.93679240162235,0.383,0.46,0.486,1.2,1.269,1.058,-1.38,-1.12,-1.04,0.26,0.34,0.08,23765.3,9103.7,10925,11555.9,7.69,1.23,1.41,10.84,13,27021.2,22722.8,23617.9,23913.6,9207.7,9051,8956,9156.8,10924.8,11213.9,10876,10925.3,11614.9,9660.4,11497.1,12612.3,1,92.974,50,20182.5,11629.1,13682.1,6196.5,1243.4,938.2,1815.6,1625.2,1547.7,1691,2282.9,4256.1,11614.9,8316.4,5316.1,670.3
FALSE,High,Master Protein,P15144,Aminopeptidase N OS=Homo sapiens OX=9606 GN=ANPEP PE=1 SV=4,36,105,1.37562738977692E-09,0.994403457594367,0.249877803326097,1.59194590843015E-09,4.51744730511905E-09,0.351968800416543,15.086,1.071,1.436,0.071,0.095,1.341,3.92,0.1,0.52,-3.82,-3.39,0.42,6548.4,98788.8,7011.6,9403.4,16.46,25.56,9.85,22.82,36,7079.8,5758.4,6056.9,8221.5,100648.4,75896.9,139195,96963.6,6127.3,6798.9,7231,7750.2,9347,6247.3,9460.3,11227.1,1,217.573,28,5288,2947,3508.8,2130.4,13591.6,7867,28217.7,17210,868.1,1025.2,1517.8,3019.2,9347,5378.1,4374.3,596.7
FALSE,High,Master Protein,P37837,Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2,38,175,1.87828730346951E-09,8.69115976964707E-08,2.6018953369622E-07,0.000750987190393237,0.000118392306211024,0.623711074818052,0.397,0.522,0.554,1.314,1.397,1.063,-1.33,-0.94,-0.85,0.39,0.48,0.09,76309,30287.4,39796.6,42302.2,9.06,2.83,8.14,7.1,37,79326.3,73406.6,71329.1,87048.7,29855.6,30725.4,29201.1,31096.4,37202.2,42572.1,36923.9,42778.7,44452.2,40256.2,45461.6,39398,1,264.018,66,59250,37567.9,41321.6,22556.1,4031.7,3184.8,5919.7,5519.3,5270.6,6419.6,7750.5,16665.1,44452.2,34655.5,21020.7,2093.9
FALSE,High,Master Protein,Q9UKM9,RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1,16,53,2.21061602356798E-09,4.48765562377496E-07,1.99404833267636E-06,7.75068421789982E-05,1.15048459643496E-05,0.489180770935378,0.475,0.628,0.666,1.321,1.402,1.061,-1.07,-0.67,-0.59,0.4,0.49,0.09,19414.9,9229.9,12195.8,12939.2,6.51,5.31,1.85,7.95,16,20349.6,18513.6,21008.4,18523.2,8494.9,9594.3,9416,9047.5,12094.3,11925.4,12438.5,12298.1,14029.1,11969.9,13691.3,12228.4,1,100.168,53,15199.4,9474.9,12170.4,4799.7,1147.2,994.5,1908.8,1605.8,1713.4,1798.3,2610.9,4790.9,14029.1,10304.6,6330.7,649.9
FALSE,High,Master Protein,Q13451,Peptidyl-prolyl cis-trans isomerase FKBP5 OS=Homo sapiens OX=9606 GN=FKBP5 PE=1 SV=2,16,34,5.50765499873762E-09,0.44356812443801,0.00623099621953804,1.58359549917719E-08,1.33144625658055E-07,0.0907029032210059,4.902,1.109,1.445,0.226,0.295,1.303,2.29,0.15,0.53,-2.14,-1.76,0.38,2669.7,13086.5,2960.2,3858,5.66,20.45,9.37,10.5,15,2809.5,2533.9,2548.9,2796.3,12117.4,9534.1,15591.7,14133.1,2926.4,2908.3,2994.4,3516.4,3963.9,4488.2,3754.8,3520.2,1,90.861,39,2098.4,1296.8,1476.6,724.6,1636.3,988.2,3160.8,2508.5,414.6,438.6,628.5,1369.9,3963.9,3863.7,1736.2,187.1
FALSE,High,Master Protein,Q9Y3C8,Ubiquitin-fold modifier-conjugating enzyme 1 OS=Homo sapiens OX=9606 GN=UFC1 PE=1 SV=3,7,17,5.66795899104022E-09,1.21299200905867E-07,2.9846218679519E-05,0.00807819478020744,4.75477420924797E-06,0.00118431527940333,2.696,2.141,1.631,0.794,0.605,0.762,1.43,1.1,0.71,-0.33,-0.73,-0.39,1862.1,5020.5,3987.2,3037.1,3.08,9.95,7.4,10.32,7,1930.3,1902.6,1815.1,1822.5,5345.7,4715.1,4574.5,5631,3880.4,3647.6,4097,4337.2,3209.2,3090,2985.1,2514.1,1,26.141,37,1441.8,973.7,1051.5,472.3,721.9,488.7,927.3,999.4,549.7,550,860,1689.6,3209.2,2660.1,1380.2,133.6
FALSE,High,Master Protein,Q16555,Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1,26,89,1.1091888074688E-08,0.338804259594054,3.45475743568358E-08,4.19274077678722E-08,0.458217780903751,1.53242463829528E-07,2.704,1.132,2.34,0.418,0.865,2.068,1.44,0.18,1.23,-1.26,-0.21,1.05,11244.5,30407,12724.5,26315,8.05,4.74,4.47,14.82,26,11256.5,11232.5,10751.9,12878.6,29884.5,28717,32086,30938.7,13087.4,13504.3,12371.6,12323.3,25427.6,27233.3,24996.7,33923.7,1,191.665,56,8407.7,5748.5,6228.7,3337.1,4035.6,2976.6,6504.5,5491.3,1854.1,2036.4,2596.9,4800.7,25427.6,23444.4,11558.1,1802.9
